date,state,state_ibge_code,deaths,created_at
2020-09-05,AC,12,4,2021-03-17 19:42
2020-09-06,AC,12,9,2021-03-17 19:42
2020-09-07,AC,12,6,2021-03-17 19:42
2020-09-08,AC,12,14,2021-03-17 19:42
2020-09-09,AC,12,11,2021-03-17 19:42
2020-09-10,AC,12,6,2021-03-17 19:42
2020-09-11,AC,12,15,2021-03-17 19:42
2020-09-12,AC,12,16,2021-03-17 19:42
2020-09-13,AC,12,12,2021-03-17 19:42
2020-09-14,AC,12,9,2021-03-17 19:42
2020-09-15,AC,12,8,2021-03-17 19:42
2020-09-16,AC,12,10,2021-03-17 19:42
2020-09-17,AC,12,11,2021-03-17 19:42
2020-09-18,AC,12,11,2021-03-17 19:42
2020-09-19,AC,12,14,2021-03-17 19:42
2020-09-20,AC,12,8,2021-03-17 19:42
2020-09-21,AC,12,8,2021-03-17 19:42
2020-09-22,AC,12,8,2021-03-17 19:42
2020-09-23,AC,12,10,2021-03-17 19:42
2020-09-24,AC,12,10,2021-03-17 19:42
2020-09-25,AC,12,11,2021-03-17 19:42
2020-09-26,AC,12,10,2021-03-17 19:42
2020-09-27,AC,12,8,2021-03-17 19:42
2020-09-28,AC,12,4,2021-03-17 19:42
2020-09-29,AC,12,7,2021-03-17 19:42
2020-09-30,AC,12,9,2021-03-17 19:42
2020-10-01,AC,12,13,2021-03-17 19:42
2020-10-02,AC,12,9,2021-03-17 19:42
2020-10-03,AC,12,10,2021-03-17 19:42
2020-10-04,AC,12,5,2021-03-17 19:42
2020-10-05,AC,12,6,2021-03-17 19:42
2020-10-06,AC,12,14,2021-03-17 19:42
2020-10-07,AC,12,16,2021-03-17 19:42
2020-10-08,AC,12,9,2021-03-17 19:42
2020-10-09,AC,12,12,2021-03-17 19:42
2020-10-10,AC,12,17,2021-03-17 19:42
2020-10-11,AC,12,10,2021-03-17 19:42
2020-10-12,AC,12,11,2021-03-17 19:42
2020-10-13,AC,12,6,2021-03-17 19:42
2020-10-14,AC,12,11,2021-03-17 19:42
2020-10-15,AC,12,10,2021-03-17 19:42
2020-10-16,AC,12,13,2021-03-17 19:42
2020-10-17,AC,12,8,2021-03-17 19:42
2020-10-18,AC,12,10,2021-03-17 19:42
2020-10-19,AC,12,5,2021-03-17 19:42
2020-10-20,AC,12,7,2021-03-17 19:42
2020-10-21,AC,12,6,2021-03-17 19:42
2020-10-22,AC,12,7,2021-03-17 19:42
2020-10-23,AC,12,4,2021-03-17 19:42
2020-10-24,AC,12,6,2021-03-17 19:42
2020-10-25,AC,12,2,2021-03-17 19:42
2020-10-26,AC,12,5,2021-03-17 19:42
2020-10-27,AC,12,9,2021-03-17 19:42
2020-10-28,AC,12,13,2021-03-17 19:42
2020-10-29,AC,12,10,2021-03-17 19:42
2020-10-30,AC,12,12,2021-03-17 19:42
2020-10-31,AC,12,10,2021-03-17 19:42
2020-11-01,AC,12,13,2021-03-17 19:42
2020-11-02,AC,12,7,2021-03-17 19:42
2020-11-03,AC,12,14,2021-03-17 19:42
2020-11-04,AC,12,9,2021-03-17 19:42
2020-11-05,AC,12,12,2021-03-17 19:42
2020-11-06,AC,12,11,2021-03-17 19:42
2020-11-07,AC,12,10,2021-03-17 19:42
2020-11-08,AC,12,11,2021-03-17 19:42
2020-11-09,AC,12,14,2021-03-17 19:42
2020-11-10,AC,12,5,2021-03-17 19:42
2020-11-11,AC,12,10,2021-03-17 19:42
2020-11-12,AC,12,17,2021-03-17 19:42
2020-11-13,AC,12,15,2021-03-17 19:42
2020-11-14,AC,12,13,2021-03-17 19:42
2020-11-15,AC,12,10,2021-03-17 19:42
2020-11-16,AC,12,5,2021-03-17 19:42
2020-11-17,AC,12,6,2021-03-17 19:42
2020-11-18,AC,12,9,2021-03-17 19:42
2020-11-19,AC,12,15,2021-03-17 19:42
2020-11-20,AC,12,9,2021-03-17 19:42
2020-11-21,AC,12,12,2021-03-17 19:42
2020-11-22,AC,12,9,2021-03-17 19:42
2020-11-23,AC,12,13,2021-03-17 19:42
2020-11-24,AC,12,14,2021-03-17 19:42
2020-11-25,AC,12,7,2021-03-17 19:42
2020-11-26,AC,12,10,2021-03-17 19:42
2020-11-27,AC,12,10,2021-03-17 19:42
2020-11-28,AC,12,14,2021-03-17 19:42
2020-11-29,AC,12,5,2021-03-17 19:42
2020-11-30,AC,12,11,2021-03-17 19:42
2020-12-01,AC,12,8,2021-03-17 19:42
2020-12-02,AC,12,12,2021-03-17 19:42
2020-12-03,AC,12,9,2021-03-17 19:42
2020-12-04,AC,12,9,2021-03-17 19:42
2020-12-05,AC,12,9,2021-03-17 19:42
2020-12-06,AC,12,16,2021-03-17 19:42
2020-12-07,AC,12,10,2021-03-17 19:42
2020-12-08,AC,12,13,2021-03-17 19:42
2020-12-09,AC,12,13,2021-03-17 19:42
2020-12-10,AC,12,11,2021-03-17 19:42
2020-12-11,AC,12,10,2021-03-17 19:42
2020-12-12,AC,12,17,2021-03-17 19:42
2020-12-13,AC,12,12,2021-03-17 19:42
2020-12-14,AC,12,9,2021-03-17 19:42
2020-12-15,AC,12,18,2021-03-17 19:42
2020-12-16,AC,12,13,2021-03-17 19:42
2020-12-17,AC,12,11,2021-03-17 19:42
2020-12-18,AC,12,19,2021-03-17 19:42
2020-12-19,AC,12,10,2021-03-17 19:42
2020-12-20,AC,12,11,2021-03-17 19:42
2020-12-21,AC,12,13,2021-03-17 19:42
2020-12-22,AC,12,10,2021-03-17 19:42
2020-12-23,AC,12,16,2021-03-17 19:42
2020-12-24,AC,12,12,2021-03-17 19:42
2020-12-25,AC,12,12,2021-03-17 19:42
2020-12-26,AC,12,17,2021-03-17 19:42
2020-12-27,AC,12,18,2021-03-17 19:42
2020-12-28,AC,12,12,2021-03-17 19:42
2020-12-29,AC,12,10,2021-03-17 19:42
2020-12-30,AC,12,15,2021-03-17 19:42
2020-12-31,AC,12,10,2021-03-17 19:42
2021-01-01,AC,12,22,2021-03-17 19:42
2021-01-02,AC,12,16,2021-03-17 19:42
2021-01-03,AC,12,17,2021-03-17 19:42
2021-01-04,AC,12,17,2021-03-17 19:42
2021-01-05,AC,12,16,2021-03-17 19:42
2021-01-06,AC,12,4,2021-03-17 19:42
2021-01-07,AC,12,1,2021-03-17 19:42
2021-01-08,AC,12,11,2021-03-17 19:42
2021-01-09,AC,12,3,2021-03-17 19:42
2021-01-10,AC,12,3,2021-03-17 19:42
2021-01-12,AC,12,6,2021-03-17 19:42
2021-01-13,AC,12,2,2021-03-17 19:42
2021-01-14,AC,12,2,2021-03-17 19:42
2021-01-15,AC,12,6,2021-03-17 19:42
2021-01-16,AC,12,1,2021-03-17 19:42
2021-01-17,AC,12,6,2021-03-17 19:42
2021-01-18,AC,12,5,2021-03-17 19:42
2021-01-19,AC,12,3,2021-03-17 19:42
2021-01-20,AC,12,4,2021-03-17 19:42
2021-01-21,AC,12,4,2021-03-17 19:42
2021-01-22,AC,12,1,2021-03-17 19:42
2021-01-23,AC,12,3,2021-03-17 19:42
2021-01-24,AC,12,6,2021-03-17 19:42
2021-01-25,AC,12,2,2021-03-17 19:42
2021-01-26,AC,12,10,2021-03-17 19:42
2021-01-27,AC,12,2,2021-03-17 19:42
2021-01-28,AC,12,2,2021-03-17 19:42
2021-01-29,AC,12,4,2021-03-17 19:42
2021-01-30,AC,12,4,2021-03-17 19:42
2021-01-31,AC,12,3,2021-03-17 19:42
2021-02-01,AC,12,7,2021-03-17 19:42
2021-02-02,AC,12,6,2021-03-17 19:42
2021-02-03,AC,12,3,2021-03-17 19:42
2021-02-04,AC,12,5,2021-03-17 19:42
2021-02-05,AC,12,3,2021-03-17 19:42
2021-02-06,AC,12,6,2021-03-17 19:42
2021-02-07,AC,12,6,2021-03-17 19:42
2021-02-08,AC,12,7,2021-03-17 19:42
2021-02-09,AC,12,6,2021-03-17 19:42
2021-02-10,AC,12,6,2021-03-17 19:42
2021-02-11,AC,12,10,2021-03-17 19:42
2021-02-12,AC,12,9,2021-03-17 19:42
2021-02-13,AC,12,3,2021-03-17 19:42
2021-02-14,AC,12,3,2021-03-17 19:42
